title,type,degree,frequency,description
T. HATOMURA,PERSON,3,2,"T. Hatomura is an accomplished author recognized for his contributions to the field of metallurgical research. He has notably contributed to the publication ""Tetsu-to-Hagané,"" which is a significant work in the area of metallurgy. In addition to his writing, T. Hatomura is actively engaged in research focusing on the properties and processing of microalloyed steels. His work aims to enhance the understanding and application of these materials, which are essential in various industrial applications due to their unique characteristics and performance benefits. Through his research and publications, T. Hatomura plays a vital role in advancing metallurgical knowledge and practices."
C. SHIGA,PERSON,1,1,C. Shiga is an author associated with research in microalloying and steel properties.
UNION CARBIDE CORPORATION,ORGANIZATION,2,2,"Union Carbide Corporation is an industrial company actively engaged in the manufacturing of materials and the development of processing techniques. It has garnered recognition particularly for its significant contributions to the fields of metallurgy and microalloying. The corporation is known for its innovative approaches and advancements in steel research, which are documented in various publications. 

Union Carbide Corporation's involvement in microalloying involves studying and developing techniques that enhance the properties of steel, ultimately contributing to improved performance in various applications. Through its research initiatives, the company has become a notable contributor to the advancements in metallurgy, positioning itself as a key player in the industry. 

Overall, Union Carbide Corporation stands out for its commitment to research and development in manufacturing and processing techniques, especially in the realm of microalloying and steel innovation."
THE IRON AND STEEL INSTITUTE OF JAPAN,ORGANIZATION,1,1,The Iron and Steel Institute of Japan is a professional organization focusing on studies and advancements in steel technology.
METALLURGICAL SOCIETY OF AIME,ORGANIZATION,1,1,The Metallurgical Society of AIME is an organization that emphasizes metallurgical research and publications.
PROCESSING,PROCESS,1,1,"Processing refers to methods and techniques utilized in the metallurgical treatment of materials, specifically in steel."
HOT DEFORMATION OF STEELS,PROCESS,1,1,Hot deformation of steels is a processing technique used to improve mechanical properties such as strength and ductility.
W. J. MCG. TEGART,PERSON,0,1,W. J. McG. Tegart is known for contributions to research focused on the hot deformation processes in steel materials.
D. DULIEU,PERSON,1,1,D. Dulieu is an author whose research focuses on materials science and metallurgy.
A. LE BON,PERSON,1,1,A. Le Bon is a researcher who contributed to works on microalloying and the design of alloys in metallurgical science.
C. OUCHI,PERSON,1,1,C. Ouchi is a researcher recognized for studies in steel processing and alloy properties.
J. D. BAIRD,PERSON,1,1,J. D. Baird contributed significantly to research regarding processing and properties of low-carbon steels.
J. J. JONAS,PERSON,1,1,J. J. Jonas is a metallurgical researcher who has published work on the science of metals.
R. A. P. DJAIC,PERSON,1,1,R. A. P. Djaic is a researcher who has collaborated on topics such as metallurgical processes.
C. ROSSARD,PERSON,1,1,C. Rossard contributed to the field with a focus on design aspects of alloys in steel manufacturing.
H. J. MCQUEEN,PERSON,1,1,H. J. McQueen is noted for his research in metallurgy and processing of steels.
"AMERICAN INSTITUTE OF MINING, METALLURGICAL AND PETROLEUM ENGINEERS",ORGANIZATION,3,2,"The American Institute of Mining, Metallurgical and Petroleum Engineers (AIME) is a prominent professional organization dedicated to advancing the fields of mining, metallurgical, and petroleum engineering. AIME plays a significant role in the dissemination of knowledge within these disciplines by publishing research and development findings, particularly in metallurgy and materials engineering. In addition to its publishing endeavors, the institute is actively involved in organizing conferences that facilitate networking, collaboration, and ongoing education for professionals in the associated fields. Through these efforts, AIME contributes to the advancement of technology and innovation in the mining and engineering sectors."
M. LAMBERIGTS,PERSON,2,1,M. Lamberigts is an author who has published research on the hot deformation of austenite in metallurgical education and practices.
T. GREDAY,PERSON,2,1,T. Greday is an author who has contributed to the research on hot deformation of austenite and microalloying studies.
R. PRIESTNER,PERSON,1,1,"R. Priestner is an author involved in metallurgical research, contributing to various publications on heat treatment and material properties."
E. L. BROWN,PERSON,1,1,"E. L. Brown is an author who works in metallurgical studies, particularly in the hot deformation of austenite."
G. F. MELLOY,PERSON,1,1,G. F. Melloy is an author noted for work on the microstructure and design of alloys.
S. GOHDA,PERSON,0,1,S. Gohda is an author contributing to research on steel and metallurgy published in 'Tetsu-to-Hagané'.
HEAT TREATMENT,PROCESS,1,1,Heat treatment is a metallurgical process involving the heating and cooling of metals to alter their physical and mechanical properties without changing the shape.
HOT DEFORMATION,PROCESS,4,1,Hot deformation is a process in metallurgical engineering where materials are deformed at elevated temperatures to improve properties.
J.N. CORDEA,PERSON,0,1,J.N. Cordea is an author noted for his contributions to metallurgical literature and publications.
S. SEKINO,PERSON,1,1,"S. Sekino is an author who has published research in the field of metallurgy, particularly in 'Tetsu-to-Hagané'."
N. MORI,PERSON,1,1,N. Mori is an author involved in metallurgical studies and research contributions.
S. TAMUKAI,PERSON,0,1,"S. Tamukai is an author contributing to research in metallurgy, known for works appearing in 'Tetsu-to-Hagané'."
T. H. HASHIMOTO,PERSON,1,1,"T. H. Hashimoto is an author who has done research in metallurgy, particularly in relation to hot deformation."
H. WATANABE,PERSON,1,1,H. Watanabe is an author known for his contributions to the study of metallurgical processes.
W.B. MORRISON,PERSON,1,1,W.B. Morrison is an author who has contributed to research in metallurgical science.
I. WEISS,PERSON,0,1,I. Weiss is an author associated with publications in metallurgical research.
K.J. IRVINE,PERSON,1,1,K.J. Irvine is an author who has contributed to the field of metallurgy and material sciences.
T. L. CAPELETTI,PERSON,1,1,T. L. Capeletti is an author who has published work in the field of metallurgy and material processes.
TETSUTO-HAGANÉ,PROCESS,3,1,"Tetsu-to-Hagané refers to a series of scholarly articles focused on steel and metallurgy issues, published in a scientific journal relevant to iron and steel processes."
DUCTILITY,MECHANICAL PROPERTY,3,1,"Ductility is a mechanical property that measures how much a material can stretch before breaking, influential in the manufacturing of steel products."
HOT DEFORMATION OF AUSTENITE,PROCESS,1,1,This process involves deforming austenite steel at high temperatures to improve its mechanical properties and is a key phase in steel processing.
CLIMAX MOLYBDENUM COMPANY,ORGANIZATION,3,3,"Climax Molybdenum Company is a prominent entity in the field of molybdenum production, recognized for its significant contributions to steel applications, particularly within the gas and oil industry. This company has established itself as a global leader in the manufacturing of molybdenum and its various compounds, which play a crucial role in the alloying process of steel. Their products are essential for enhancing the properties of steel, particularly in improving ductility and toughness, qualities that are increasingly critical in demanding industrial applications.

Headquartered in Japan, Climax Molybdenum Company focuses on the development and production of materials associated with molybdenum. The company's research efforts are directed towards advancing the fundamental characteristics that make steel more effective in operational environments, especially in relation to energy and resource extraction sectors. Their work underscores the importance of molybdenum-based solutions in achieving enhanced performance and reliability in steel manufacturing.

In summary, Climax Molybdenum Company combines cutting-edge research with its expansive production capabilities, solidifying its position as a key player in the global market for molybdenum and its applications. The company's dedication to innovation and high-quality standards is reflected in its comprehensive approach to meeting the needs of the steel industry, particularly in the context of oil and gas applications."
SECOND-PHASE PARTICLES,PHASE,3,1,"Second-phase particles refer to distinct phases within a material that can enhance specific mechanical properties, such as strength and toughness of steel."
WORKING GROUP ON METALLURGY,ORGANIZATION,0,1,"A working group focused on metallurgy studies, discussing relevant topics such as material processing and steel properties."
CUTTING AND JOINING OF STEEL,PROCESS,0,1,"This process encompasses various methodologies through which steel is cut and joined during manufacturing, influencing the final mechanical properties."
T. SAWAMURA,PERSON,0,1,"T. Sawamura is an author who has contributed to the field of metallurgy, particularly in research related to steel published in Tetsu-to-Hagané."
H. OHTANI,PERSON,0,1,H. Ohtani is a researcher in metallurgy known for contributions to studies regarding steel processes published in Tetsu-to-Hagané.
C. R. MACKENZIE,PERSON,0,1,C. R. Mackenzie is an author recognized for exploring iron and steel topics within the Journal of Iron Steel Institute.
R. W. YOUNG,PERSON,0,1,"R. W. Young is a contributor to the field of metallurgy, particularly in the study of iron and steel."
Y. SAITO,PERSON,0,1,Y. Saito is an author who has published research on steel metallurgy topics in Tetsu-to-Hagané.
Y. E. SMITH,PERSON,0,2,"Y. E. Smith is a notable figure in the field of metallurgy, recognized for their contributions to the understanding of the mechanical properties of steel. As a co-author of various discussions and research papers, Y. E. Smith has played a significant role in advancing the knowledge surrounding steel's characteristics and behaviors under different conditions. Their work has been featured in multiple publications, including reputable journals such as Metallurgical Transactions, which highlights the impact of their research on the metallurgical community. Through these studies, Y. E. Smith has contributed valuable insights into the mechanical properties of steel, which are essential for applications in engineering and materials science."
C. A. SIEBERT,PERSON,0,1,"C. A. Siebert has contributed to the research literature concerning metallurgical processes, particularly in the field of steel."
F. TERASAKI,PERSON,0,1,F. Terasaki has researched the mechanical properties of steel and published findings in Tetsu-to-Hagané.
T. KANEKO,PERSON,0,1,T. Kaneko is associated with the research of steel processing and mechanical properties as published in Tetsu-to-Hagané.
G. R. SPEICH,PERSON,0,1,"G. R. Speich is known for studies on the hot deformation of austenite, providing insights into processes important for steel production."
D. S. DABKOWSKI,PERSON,0,1,"D. S. Dabkowski is a researcher focusing on metallurgy processes, specifically in regards to steel properties."
H. INAGAKI,PERSON,0,1,"H. Inagaki has conducted significant research within metallurgical processes and steel studies, contributing to various publications."
W. B. MORRISON,PERSON,0,1,W. B. Morrison is an author of metallurgical literature that discusses steel properties and processes in detail.
E. MIYOSHI,PERSON,0,1,"E. Miyoshi is known for contributions to the field of metallurgy, focusing on properties and processing of steel."
M. FUKUDA,PERSON,0,1,"M. Fukuda has authored research regarding the processing and properties of steel, contributing significantly to the academic field."
R. SCHOFIELD,PERSON,0,1,R. Schofield has made contributions to metallurgy literature concerning the properties of iron and steel.
N. J. PETCH,PERSON,0,1,N. J. Petch has researched mechanical properties in steel formations and contributed to metallurgical writings.
A. E. WRAITH,PERSON,0,1,A. E. Wraith is involved in metallurgical research particularly studying steel and its mechanical properties.
E. S. WRIGHT,PERSON,0,1,"E. S. Wright has worked in the field of metallurgy, refining studies related to steel materials and processes."
E. A. ALMOND,PERSON,0,2,"E. A. Almond is a distinguished researcher specializing in metallurgical processes, particularly known for his contributions to the field of steel processing. He has published significant findings in the journal Metallurgical Transactions, where he discusses various aspects of steel processing and its properties. His work is recognized for advancing the understanding of metallurgical techniques, influencing both academic thought and practical applications in the metallurgy industry. Through his publications, E. A. Almond has established himself as an authority in the realm of metallurgical research, specifically focusing on the intricacies of steel and its processing methods."
M. IINO,PERSON,0,1,"M. Iino is a contributor to research in the field of steel metallurgy, known for their work in various publications."
H. MIMURA,PERSON,0,1,"H. Mimura has engaged in academic studies concerning the mechanical properties of steel, contributing to the database of knowledge in metallurgy."
N. NOMURA,PERSON,0,1,"N. Nomura is associated with research in metallurgy, focusing on steel processing and its properties.)<|COMPLETE|>"
MICROALLOYING,PROCESS,5,1,"Microalloying is a process that involves adding small amounts of alloying elements to steel to enhance its mechanical properties, especially strength and toughness."
DOUCILITY,MECHANICAL PROPERTY,2,1,"Ductility is a mechanical property that measures a material's ability to deform under tensile stress, which is crucial for various applications, including low-carbon steel."
K. KUNISHIGE,PERSON,0,2,"K. Kunishige is a recognized author known for his significant contributions to the field of metallurgy, particularly focusing on steel and its processing techniques. His works include multiple studies that delve into the complexities surrounding steel production and its various applications. Notably, he has published extensively in Tetsu-to-Hagané, a prominent journal dedicated to metallurgical research. Through his writings, K. Kunishige has garnered a reputation for enhancing the understanding of steel, reflecting both scholarly rigor and practical insights in his analyses. His contributions are highly regarded within the academic community, making him a notable figure in the studies related to steel and its technological advancements."
S. SUGIZAWA,PERSON,0,1,S. Sugizawa is another author who has provided research insights in Tetsu-io-Hagané in 1978 focused on metallurgical studies.
T. MORI,PERSON,0,1,T. Mori is an author associated with publications on steel characteristics and treatment methods in Tetsu-to-Hagané.
T. ENAMI,PERSON,0,1,"T. Enami is a contributor to studies in Tetsu-to-Hagané, focusing on metal processing and its implications."
T. FUNAKOSHI,PERSON,0,1,T. Funakoshi is one of the co-authors discussing metallurgical processes in the context of steel in Tetsu-to-Hagané.
R. OKABE,PERSON,0,1,R. Okabe is an author of a paper in Tetsu-to-Hagané contributing to research in metallurgy.
H. PIRCHNER,PERSON,0,1,"H. Pirchner contributed to the conference on microalloying, providing insights into steel treatment methods."
W. KLAPAR,PERSON,0,1,W. Klapar is noted for participation in the microalloying conference focused on steel properties and processing.
F.B. PICKERING,PERSON,0,1,F.B. Pickering is an author who contributed to the microalloying discussions and their effects on steel.
D. WEBSTER,PERSON,0,1,D. Webster has published research related to the properties of steels in J. Iron Steel Inst.
J. H. WOODHEAD,PERSON,0,1,J. H. Woodhead is noted for his work on steel processing published in the J. Iron Steel Inst.
M. DURBIN,PERSON,0,1,M. Durbin has published findings on the processing and properties of low-carbon steel.
P. R. KRAHE,PERSON,0,1,P. R. Krahe is co-author of works focused on low-carbon steel processing and its material properties.
A. P. COLDREN,PERSON,0,1,A. P. Coldren has significant contributions to publications on processing and properties of low-carbon steel.
M. LAFRANCE,PERSON,0,1,M. Lafrance is known for contributions to microalloying discussions in industry-related publications.
C. PARRINI,PERSON,0,1,"C. Parrini is noted for writing on aspects of steel processing, primarily in the context of microalloying."
T. YAMAGUCHI,PERSON,0,1,T. Yamaguchi has contributed to the literature on microalloying in steel applications.
COLDREN,PERSON,2,1,A. P. Coldren is an author who contributed to research regarding molybdenum-containing steels for gas and oil industry applications.
MIHELICH,PERSON,1,1,J. L. Mihelich is an author who worked alongside A. P. Coldren on a review about molybdenum-containing steels.
STAINLESS STEEL,STEEL GRADE,0,1,Stainless steel is a type of steel known for its corrosion resistance and is often used in various industrial applications.
DUAL-PHASE STEELS,STEEL GRADE,2,1,Dual-phase steels are a type of steel known for their complex microstructure and are used in automotive applications for enhanced mechanical properties.
STRUCTURE,PHENOMENON,2,1,Structure in the context of steels refers to the arrangement of phases and microstructural features in the material.
NEW YORK,GEO,2,1,"New York is referenced as the location where various publications by the American Institute of Mining, Metallurgical, and Petroleum Engineers were released."
AMERICAN SOCIETY OF MECHANICAL ENGINEERS,ORGANIZATION,1,1,This organization contributes to the association and dissemination of mechanical engineering research and advancements.
